"English sentence","Swahili Translation"
"In 1957, five missionaries attempted contact and made a critical mistake.","Mnamo mwaka 1957, wamishonari watano walijaribu kuwatembelea na wakafanya kosa kubwa."
"'A likely story indeed!' said the Pigeon in a tone of the deepest contempt.","'Hadithi uwezekano kweli!' Alisema Pigeon katika sauti ya dharau kamili."
"Alice was silent.","Alice alikuwa kimya."
"ROMEO A thousand times the worse, to want thy light!-- Love goes toward love as schoolboys from their books;","Romeo mara elfu zaidi kwa kutaka nuru yako - Love huenda katika upendo kama schoolboys kutoka katika vitabu vyao!;"
"I smiled to think that, after all, it was yet he, of us two, who had the light.","I smiled kufikiri kwamba, baada ya yote, bado na yeye, ya sisi wawili, ambao walikuwa na nuru."
"I asked. ""'Oh, merely a couple of hundred a year, but the work is slight, and it need not interfere very much with one's other occupations.'","Mimi aliuliza. ""'Oh, mia kadhaa tu kwa mwaka, lakini kazi ni kidogo, na haja ya kuingilia sana na kazi ya mtu mwingine. '"
"""You needn't be so vexed.","""Unapaswa kuwa hivyo wanasumbuliwa."
"Stay away from me.","Kaa mbali na mimi."
"PRlNCE Rebellious subjects, enemies to peace, Profaners of this neighbour-stained steel,--","PRINCE waasi masomo, maadui kwa amani, Profaners ya chuma jirani-kubadilika, -"
"- Now!","- Sasa!"
"""I know how to write,"" Mary answered.","""Najua jinsi ya kuandika,"" Maria akasema."
"You know nothing about India.","Unajua chochote kuhusu India."
"'Sit down, all of you, and listen to me!","'Kaa chini, ninyi nyote, na sikilizeni!"
"But he was wrong.","Demitry alidhani anaweza kuja hapa na kutuambia nini cha kufanya? Lakini alikuwa wrong.G"
"For human society I was obliged to conjure up the former occupants of these woods.","Kwa jamii ya binadamu mimi alilazimika conjure juu ya wakazi wa zamani wa Woods haya."
"Martha, the young housemaid, who had just risen to her feet, looked and pointed also.","Martha, housemaid vijana, ambao ndiyo tu kufufuka kwa miguu yake, na inaonekana pia alisema."
"Jeez...","Jeez..."
"It's named Soot because it's so black, an' it hops an' flies about with him everywhere."" The time had come when Mary had forgotten to resent Martha's familiar talk.","Ni jina masizi kwa sababu ni hivyo nyeusi, 'ni humle' nzi pamoja naye kuhusu kila mahali. ""muda umewadia wakati Maria walikuwa wamesahau kwa atapewa Martha wa ukoo majadiliano."
"Oh! most contemptible and worthy of all scorn; with slouched hat and guilty eye, skulking from his God; prowling among the shipping like a vile burglar hastening to cross the seas.","Oh! mnyonge zaidi na unastahili yote dharau; na kofia slouched na jicho na hatia, skulking kutoka kwa Mungu wake; prowling kati ya meli kama burglar mbovu mbio kwa msalaba bahari."
"So I am happy tonight, I am not worried about anything.","Kwa hivyo, leo usiku nina furaha, sina wasiwasi kuhusu kitu chochote."
"Martha looked reflective again.","Martha inaonekana kutafakari tena."
"""Then, as to money?"" ""You have carte blanche.""","""Ama fedha?"" ""Una carte Blanche."""
"And she brings news; and every tongue that speaks But Romeo's name speaks heavenly eloquence.--","Na yeye hutoa habari, na kila ulimi kinasema Lakini jina Romeo ya anaongea ufasaha mbinguni .--"
"This idea sprang from the brain of Mr. Teddy Henfrey.","Wazo hili ulianza kutoka kwenye ubongo wa Mheshimiwa Teddy Henfrey."
"But we have to be careful, for we have twice been deceived by wigs and once by paint.","Lakini tunatakiwa kuwa makini, kwa kuwa sisi mara mbili wamekuwa kudanganywa na wigs na mara moja na rangi."
"Anyway, what brings you here?","Anyway, kile huleta wewe hapa?"
"""Ow!"" he said.","""Ow!"" Alisema."
"Perhaps his parents were sitting with the manager at the table whispering; perhaps they were all leaning against the door listening.","Labda wazazi wake walikuwa wamekaa na meneja wa whispering meza, labda wote walikuwa leaning dhidi ya kusikiliza mlango."
"""They're boots, anyhow,"" said the Voice.","""Wao ni viatu, anyhow,"" alisema Voice."
"""Aye, he knows thee,"" said Dickon in his low voice again.","""Aye, anajua wewe,"" alisema Dickon katika sauti yake ya chini tena."
"CHORUS Two households, both alike in dignity,","CHORUS mbili kaya, wote sawa katika utu,"
"As it is, parts of her back country are enough to frighten one, they look so bony. The town itself is perhaps the dearest place to live in, in all New England.","Kama ilivyo, sehemu ya nchi yake ya nyuma ni wa kutosha kuitisha moja, wao kuangalia hivyo bony. mji yenyewe ni mahali pengine wapendwa wangu kuishi, katika yote New England."
"And after that, as his peculiar qualities allowed, he passed out of human perceptions altogether, and he was neither heard, seen, nor felt in Iping any more.","Na baada ya kuwa, kama sifa zake pekee kuruhusiwa, akapita nje ya maoni ya binadamu kabisa, na alikuwa kamwe kusikia, kuona, wala waliona katika Iping yoyote zaidi."
"Mary listened to her with a grave, puzzled expression. The native servants she had been used to in India were not in the least like this.","Mary kusikiliza yake na kujieleza kaburi, puzzled. watumishi uliotokea yeye alikuwa kutumika katika India hawakuwa katika angalau kama hii."
"'Point out my state-room, Sir,' says Jonah now, 'I'm travel-weary; I need sleep.'","'Point nje wangu hali ya chumba, Bwana,' anasema Yona hivi sasa, 'mimi nina kusafiri-kuchoka, mimi haja ya kulala.'"
"On the contrary, it's a complex metaphysical worldview. It's interesting.","Kinyume chake, ni mtazamo fulani wa ulimwengu nje ya maumbile. inashangaza."
"So I don't have a problem with developers making money. There's enough precedent out there to show that a sustainable, community-friendly development can still make a fortune.","Kuna precedent ya kutosha huko kuonyesha kuwa maendeleo endelevu ya jumuia bado yanaweza kuleta utajiri."
"- To Sangmin!","- Ili Sangmin!"
"What brought you to LA?","Kuletwa kwa nini wewe LA?"
"As we said, a baby is born with 100 billion neurons, but those quadrillion connections, they're not there yet.","Tulivyosema, mtoto huzaliwa na neuroni billioni 100 lakini mahusiano hayo quadrillioni hayamo akilini"
"Soon gave me to know I had nothing to dread.","Hivi karibuni alinipa kujua mimi hawakuwa na hofu."
"""I never thought of that.","""Mimi kamwe mawazo ya kwamba."
"How will Boeun paint that huge wall by herself?","Vipi Boeun rangi kwamba ukuta mkubwa kwa mwenyewe?"
"Boeun, Miss Kim's at the door!","Boeun, Miss Kim ni mlangoni!"
"Mrs. Medlock came and looked at her every day or two, but no one inquired what she did or told her what to do.","Bi Medlock Alikuja na kumwangalia siku yake ya kila moja au mbili, lakini hakuna mtu akauliza nini yeye gani au aliiambia yake nini cha kufanya."
"""Put on tha' things and run an' skip out o' doors,"" said Martha.","""Vaa tha 'vitu na kukimbia' ruka nje o ' milango, ""alisema Martha."
"The game was ne'er so fair, and I am done.","Mchezo ulikuwa ne'er wazuri, na mimi ni kosa."
"But what you'll find is that there are times, and there are actually many times--","Lakini ambacho utagundua ni kuwa kuna kuzidisha na kuzidisha kwingi na sitaki kulitumia hilo neno mara nyingi katika video ya kuzidisha"
"Did murder her; as that name's cursed hand Murder'd her kinsman.--O, tell me, friar, tell me,","Je, mauaji yake, kama kwamba jina la walaani mkono Murder'd jamaa yake .-- O, niambie, friar, niambie,"
"She may be married, but she's still a 15 year old high school girl.","Anaweza kuolewa, lakini yeye bado ni miaka 15, shule ya sekondari ya msichana."
"I often take advantage of the freedom which it gives.","Mimi mara nyingi kuchukua faida ya uhuru ambayo anatoa."
"Give me a break!","Nipe mapumziko!"
"Only a woodpecker tapping.","Tu gogota tapping."
"It is her carriage.","Ni carriage yake."
"But observe his prayer, and learn a weighty lesson.","Lakini kuangalia maombi yake, na kujifunza somo nzito."
"Sub-Subs!","Sub-subs!"
"Towards him I made; but he was ware of me, And stole into the covert of the wood:","Upande wake nililofanya, lakini alikuwa walipogundua yangu, na kuiba katika sitara ya kuni:"
"Get a grip on your wife.","Kupata mtego juu ya mke wako."
"""yes--the Greek, of course, may furnish a clue.""","""Ndiyo - Kigiriki, bila shaka, inaweza furnish kidokezo."""
"BENVOLlO Tut, you saw her fair, none else being by, Herself pois'd with herself in either eye:","BENVOLIO Tut, unaona haki yake, kwa kuwa hakuna mwingine, yeye mwenyewe pois'd na yeye mwenyewe katika jicho ama:"
"Mrs. Hall, nothing loath, answered his questions and developed a conversation.","Bi Hall, kitu chukia, akajibu maswali yake na maendeleo ya mazungumzo."
"- Wow, he's so cute.","- Wow, ni cute."
"Bring forth the parties of suspicion.","Kuzaa vyama ya tuhuma."
"The runners of their sleds were originally made of fish wrapped in caribou hide.","Mikokoteni ya kuteleza kwenye barafu ilitengenezwa kwa samaki na kufunikwa kwa ngozi ya swala."
"[Enter several of both Houses, who join the fray; then enter","[Enter kadhaa ya Nyumba wote, ambaye kujiunga Fray; kisha kuingia"
"He walked swiftly and in silence for some few minutes until we had turned down one of the quiet streets which lead towards the","Akatembea snabbt na kukaa kimya kwa baadhi ya dakika chache mpaka sisi akageuka chini moja ya mitaani na utulivu ambayo risasi kuelekea"
"Don't let him know she liked them best, For this must ever be A secret, kept from all the rest, Between yourself and me.'","Je, si basi yeye kujua yeye walipenda wao bora, Kwa hili lazima daima siri, naendelea na wengine wote, kati yako na mimi. '"
"let me write this-- this is four zeros.","Hii ni nne-- hebu niandike-- hi ni sufuri-nne"
"We can't go back.","Hatuwezi kurudi nyuma."
"""Shut the doors,"" said the policeman.","""Shut milango,"" alisema polisi."
"Black and portentous must this humour prove,","Black na portentous lazima ucheshi hii kuthibitisha,"
"Thinks I, I'll wait awhile; he must be dropping in before long.","Anadhani mimi nitangoja muda, ni lazima kuacha katika kabla ya muda mrefu."
"'Oh, as to the whiting,' said the Mock Turtle, 'they--you've seen them, of course?'","'Oh, kama kwa choki,' alisema Turtle Wamdhihaki, 'wao - you've kuonekana yao, ya"
"In our age of increasing distractions, it's more important than ever to find ways to maintain perspective, and remember that life is brief and tender.","Katika wakati huu ambao kuna mambo mengi ya kututoa katika mambo muhimu, Ni muhimu sana kutafuta njia za kudumu katika mambo muhimu na kukumbuka kuwa maisha ni mafupi na mepesi"
"Riddling confession finds but riddling shrift.","Riddling hupata kukiri lakini riddling shrift."
"No, he didn't.","Hapana, hakusema hivyo."
"""Invisible Man,"" he said.","""Man siri,"" alisema."
"With swords, saws, spiral horns, or hooked fangs.""","Kwa mapanga, saw, pembe ond, au fangs yatakuwapo ""."
"However, as if to give a rough answer to this question, the manager now, with a squeak of his polished boots, took a few determined steps in the next room.","Hata hivyo, kama kutoa jibu mbaya kwa swali hili, meneja wa sasa, na squeak ya buti yake polished, alichukua hatua chache amedhamiria katika chumba ijayo."
"ROMEO O single-soled jest, solely singular for the singleness!","Romeo O single-soled mzaha, tu umoja wa fanyeni!"
"Nor was it much better by the carriage road from Brister's Hill.","Wala si bora zaidi kwa njia ya barabara gari kutoka Hill Brister ya."
"""What did I tell you?"" ""I turned round the wrong corner,"" explained Mary.","""Ni nini nawaambieni?"" ""Mimi aligeuka kona mbaya,"" alieleza Maria."
"'I know SOMETHlNG interesting is sure to happen,' she said to herself, 'whenever I eat or drink anything; so I'll just see what this bottle does.","""Najua kitu kuvutia ni uhakika wa kutokea,"" alisema moyoni mwake, 'wakati mimi kula au kunywa kitu chochote, basi mimi itabidi kuona nini chupa hii."
"Mauritius is up there.","Mauritus iko pale juu."
"It won't change anything.","Itakuwa si mabadiliko ya kitu chochote."
"Alice did not quite know what to say to this: so she helped herself to some tea and bread-and-butter, and then turned to the Dormouse, and repeated her question.","Alice haikuweza kujua nini cha kusema kwa hili: hivyo yeye mwenyewe kwa kusaidiwa na baadhi ya chai mkate-na-siagi, na kisha akageuka na Dormouse, na mara kwa mara swali lake."
"You have private property, private ownership of land.","Unakuwa na mali binafsi"
"And I laughed when I saw him in spite of myself. A wink of his eye, and a twist of his head,","Na mimi alicheka nilipomwona licha ya mwenyewe. wink ya macho yake, na twist ya kichwa chake,"
"His uncle killed his father so he can take over the family business.","Mjomba wake kuuawa baba yake ili aweze kuchukua juu ya biashara ya familia."
"Mary would have liked to ask some more questions.","Mary ingekuwa walipenda kuuliza baadhi zaidi maswali."
"He never spoke of the softer passions, save with a gibe and a sneer.","Yeye kamwe alisema tamaa laini, ila kwa gibe na sneer."
"That's why I don't want to jump in. Because if I jump in, there is no way out.","Hiyo ndiyo maana hawataki kuruka in sababu kama mimi kuruka katika, hakuna njia ya kutoka."
"Then, with a gesture of desperation, he tore the mask from his face and hurled it upon the ground.","Kisha, kwa ishara ya kukata tamaa, alirarua mask na uso wake na hurled ni juu ya ardhi."
"NURSE God in heaven bless her!--","Muuguzi Mungu mbinguni baraka yake! -"
"""Pray continue your very interesting statement.""","""Ombeni kuendelea na maelezo ya kuvutia sana."""
"Whales, sharks, and monsters, arm'd in front or jaw,","Nyangumi, papa, na monsters, arm'd mbele au taya,"
"She doesn't hold with black hersel'."" ""I hate black things,"" said Mary. The dressing process was one which taught them both something.","Yeye hana na nyeusi hersel '""."" I hate mambo weusi, ""alisema Maria. mchakato dressing ambayo ilikuwa moja kuwafundisha wote kitu."
"It is quite as much as I can do to take care of myself, without taking care of ships, barques, brigs, schooners, and what not.","Ni kabisa kama vile mimi unaweza kufanya ya utunzaji wa mwenyewe, bila kutumia huduma ya meli, barques, brigs, schooners, na kile si."
"'""Jove!"" he gasped out.","'""Jove!"" Yeye gasped nje."
"[Enter Romeo and Balthasar with a torch, mattock, &amp;c.]","[Enter Romeo na Balthasar na tochi, jembe, &amp; c.]"
"Thank you. (Applause)","Asante Sana (Makofi)"
